theme_code,theme_name,NIH-Wide,NCI,NHGRI,NHLBI,NIA,NIAAA,NIAID,NIAMS,NIBIB,NICHD,NIDA,NIDDK,NIEHS,NIGMS,NIMH,NIMHD,NINDS,NLM,NCATS,NCCIH,NEI,row_total
1,Cardiometabolic disease,5.0000,0.0000,0.0000,271.5747,5.0000,5.0000,5.0000,0.0000,0.0000,5.0000,0.0000,154.2463,0.0000,0.0000,5.0000,5.0000,5.0000,0.0000,5.0000,5.0000,5.0000,480.8210
2,Genomics methods & complex-trait genetics,10.0000,5.0000,467.0438,20.0000,5.0000,5.0000,0.0000,0.0000,5.0000,5.0000,5.0000,10.0000,5.0000,10.0000,15.0000,10.0000,5.0000,10.0000,5.0000,0.0000,5.0000,602.0438
3,"Methods, infrastructure & phenotyping (non-genomic)",25.0000,15.0000,10.0000,20.0000,5.0000,5.0000,0.0000,5.0000,20.0000,0.0000,5.0000,5.0000,10.0000,5.0000,5.0000,10.0000,10.0000,258.0157,15.0000,15.0000,10.0000,453.0157
4,"Mental health, behavioral & substance use",5.0000,0.0000,0.0000,5.0000,5.0000,55.6335,0.0000,0.0000,0.0000,10.0000,76.2670,5.0000,0.0000,0.0000,184.4343,5.0000,5.0000,5.0000,0.0000,20.0000,0.0000,381.3348
5,Cancer,5.0000,233.5664,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000,0.0000,5.0000,0.0000,0.0000,0.0000,253.5664
6,Social determinants of health & health disparities,15.0000,20.0000,15.0000,15.0000,15.0000,10.0000,5.0000,5.0000,0.0000,5.0000,15.0000,15.0000,15.0000,5.0000,5.0000,413.9269,10.0000,5.0000,0.0000,5.0000,5.0000,598.9269
7,Wearables & digital health,0.0000,0.0000,0.0000,25.8587,0.0000,0.0000,0.0000,0.0000,54.6468,0.0000,0.0000,11.8940,0.0000,0.0000,11.8940,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,104.2936
8,Infectious disease & immunology,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000,89.9060,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,104.9060
9,Autoimmune & inflammatory disease,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.0079,58.0079,0.0000,0.0000,0.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,126.0157
10,Rare disease & Mendelian genetics,5.0000,5.0000,43.5961,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.5961,0.0000,5.0000,107.1921
11,"Aging, frailty & ADRD",5.0000,0.0000,0.0000,0.0000,90.9733,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0000,0.0000,27.7433,0.0000,0.0000,0.0000,0.0000,133.7167
12,Dermatology,5.0000,39.7175,0.0000,0.0000,0.0000,0.0000,5.0000,112.6742,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,162.3917
13,Respiratory & sleep medicine,0.0000,0.0000,0.0000,72.5940,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.5940
14,Neurology (non-ADRD),0.0000,0.0000,0.0000,0.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,5.0000,0.0000,82.4069,0.0000,0.0000,5.0000,0.0000,107.4069
15,"Pregnancy, maternal & women's health",10.0000,5.0000,0.0000,5.0000,0.0000,10.0000,0.0000,0.0000,0.0000,71.1960,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,106.1960
16,Pharmacogenomics & drug response,5.0000,7.3015,19.6030,7.3015,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000,0.0000,5.0000,0.0000,23.8090,0.0000,0.0000,0.0000,0.0000,20.0000,0.0000,0.0000,93.0150
17,"ELSI, participant engagement & recruitment",48.0727,10.0000,24.1740,5.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000,0.0000,5.0000,0.0000,15.0000,0.0000,10.0000,5.0000,5.0000,0.0000,137.2467
18,"Ophthalmology, ENT & sensory medicine",5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,108.2929,113.2929
19,Environmental health & climate,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0000,36.7243,0.0000,0.0000,5.0000,0.0000,5.0000,0.0000,5.0000,0.0000,61.7243
TOTAL,,148.0727,340.5854,579.4169,447.3289,145.9733,95.6335,167.9138,180.6820,79.6468,101.1960,111.2670,236.1403,66.7243,48.8090,246.3284,468.9269,145.1502,298.0157,98.5961,60.0000,138.2929,4204.7000
