theme_code,theme_name,NIH-Wide,NCI,NHGRI,NHLBI,NIA,NIAAA,NIAID,NIAMS,NIBIB,NICHD,NIDA,NIDDK,NIEHS,NIGMS,NIMH,NIMHD,NINDS,NLM,NCATS,NCCIH,NEI,row_total
1,Cardiometabolic disease,0.0000,0.0000,0.0000,231.5747,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,99.2463,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,330.8210
2,Genomics methods & complex-trait genetics,0.0000,0.0000,422.0438,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,422.0438
3,"Methods, infrastructure & phenotyping (non-genomic)",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,223.0157,0.0000,0.0000,0.0000,223.0157
4,"Mental health, behavioral & substance use",0.0000,0.0000,0.0000,0.0000,0.0000,20.6335,0.0000,0.0000,0.0000,0.0000,41.2670,0.0000,0.0000,0.0000,144.4343,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,206.3348
5,Cancer,0.0000,168.5664,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,168.5664
6,Social determinants of health & health disparities,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,363.9269,0.0000,0.0000,0.0000,0.0000,0.0000,363.9269
7,Wearables & digital health,0.0000,0.0000,0.0000,15.8587,0.0000,0.0000,0.0000,0.0000,39.6468,0.0000,0.0000,11.8940,0.0000,0.0000,11.8940,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,79.2936
8,Infectious disease & immunology,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,64.9060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,64.9060
9,Autoimmune & inflammatory disease,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,38.0079,38.0079,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,76.0157
10,Rare disease & Mendelian genetics,0.0000,0.0000,23.5961,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.5961,0.0000,0.0000,47.1921
11,"Aging, frailty & ADRD",0.0000,0.0000,0.0000,0.0000,50.9733,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.7433,0.0000,0.0000,0.0000,0.0000,63.7167
12,Dermatology,0.0000,39.7175,0.0000,0.0000,0.0000,0.0000,0.0000,92.6742,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,132.3917
13,Respiratory & sleep medicine,0.0000,0.0000,0.0000,37.5940,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.5940
14,Neurology (non-ADRD),0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.4069,0.0000,0.0000,0.0000,0.0000,47.4069
15,"Pregnancy, maternal & women's health",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,46.1960,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,46.1960
16,Pharmacogenomics & drug response,0.0000,2.3015,4.6030,2.3015,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.8090,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.0150
17,"ELSI, participant engagement & recruitment",33.0727,0.0000,14.1740,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.2467
18,"Ophthalmology, ENT & sensory medicine",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.2929,73.2929
19,Environmental health & climate,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.7243,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.7243
TOTAL,,33.0727,210.5854,464.4169,287.3289,50.9733,20.6335,102.9138,130.6820,39.6468,46.1960,41.2670,111.1403,6.7243,13.8090,156.3284,363.9269,60.1502,223.0157,23.5961,0.0000,73.2929,2459.7000
