theme_code,theme_name,NIH-Wide,NCI,NHGRI,NHLBI,NIA,NIAAA,NIAID,NIAMS,NIBIB,NICHD,NIDA,NIDDK,NIEHS,NIGMS,NIMH,NIMHD,NINDS,NLM,NCATS,NCCIH,NEI,row_total
1,Cardiometabolic disease,0.0104,0.0000,0.0000,0.5648,0.0104,0.0104,0.0104,0.0000,0.0000,0.0104,0.0000,0.3208,0.0000,0.0000,0.0104,0.0104,0.0104,0.0000,0.0104,0.0104,0.0104,1.0000
2,Genomics methods & complex-trait genetics,0.0166,0.0083,0.7758,0.0332,0.0083,0.0083,0.0000,0.0000,0.0083,0.0083,0.0083,0.0166,0.0083,0.0166,0.0249,0.0166,0.0083,0.0166,0.0083,0.0000,0.0083,1.0000
3,"Methods, infrastructure & phenotyping (non-genomic)",0.0552,0.0331,0.0221,0.0441,0.0110,0.0110,0.0000,0.0110,0.0441,0.0000,0.0110,0.0110,0.0221,0.0110,0.0110,0.0221,0.0221,0.5696,0.0331,0.0331,0.0221,1.0000
4,"Mental health, behavioral & substance use",0.0131,0.0000,0.0000,0.0131,0.0131,0.1459,0.0000,0.0000,0.0000,0.0262,0.2000,0.0131,0.0000,0.0000,0.4837,0.0131,0.0131,0.0131,0.0000,0.0524,0.0000,1.0000
5,Cancer,0.0197,0.9211,0.0000,0.0000,0.0197,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0197,0.0000,0.0197,0.0000,0.0000,0.0000,1.0000
6,Social determinants of health & health disparities,0.0250,0.0334,0.0250,0.0250,0.0250,0.0167,0.0083,0.0083,0.0000,0.0083,0.0250,0.0250,0.0250,0.0083,0.0083,0.6911,0.0167,0.0083,0.0000,0.0083,0.0083,1.0000
7,Wearables & digital health,0.0000,0.0000,0.0000,0.2479,0.0000,0.0000,0.0000,0.0000,0.5240,0.0000,0.0000,0.1140,0.0000,0.0000,0.1140,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
8,Infectious disease & immunology,0.0000,0.0000,0.0000,0.0000,0.0000,0.0477,0.8570,0.0000,0.0000,0.0000,0.0477,0.0000,0.0000,0.0000,0.0477,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
9,Autoimmune & inflammatory disease,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4603,0.4603,0.0000,0.0000,0.0000,0.0794,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
10,Rare disease & Mendelian genetics,0.0466,0.0466,0.4067,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4534,0.0000,0.0466,1.0000
11,"Aging, frailty & ADRD",0.0374,0.0000,0.0000,0.0000,0.6803,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0748,0.0000,0.2075,0.0000,0.0000,0.0000,0.0000,1.0000
12,Dermatology,0.0308,0.2446,0.0000,0.0000,0.0000,0.0000,0.0308,0.6938,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
13,Respiratory & sleep medicine,0.0000,0.0000,0.0000,0.9356,0.0000,0.0000,0.0644,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
14,Neurology (non-ADRD),0.0000,0.0000,0.0000,0.0000,0.0931,0.0000,0.0000,0.0000,0.0000,0.0000,0.0466,0.0000,0.0000,0.0000,0.0466,0.0000,0.7672,0.0000,0.0000,0.0466,0.0000,1.0000
15,"Pregnancy, maternal & women's health",0.0942,0.0471,0.0000,0.0471,0.0000,0.0942,0.0000,0.0000,0.0000,0.6704,0.0000,0.0471,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
16,Pharmacogenomics & drug response,0.0538,0.0785,0.2108,0.0785,0.0000,0.0000,0.0000,0.0000,0.0000,0.0538,0.0000,0.0538,0.0000,0.2560,0.0000,0.0000,0.0000,0.0000,0.2150,0.0000,0.0000,1.0000
17,"ELSI, participant engagement & recruitment",0.3503,0.0729,0.1761,0.0364,0.0364,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0364,0.0000,0.0364,0.0000,0.1093,0.0000,0.0729,0.0364,0.0364,0.0000,1.0000
18,"Ophthalmology, ENT & sensory medicine",0.0441,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9559,1.0000
19,Environmental health & climate,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1620,0.5950,0.0000,0.0000,0.0810,0.0000,0.0810,0.0000,0.0810,0.0000,1.0000
TOTAL,,0.7972,1.4856,1.6165,2.0259,0.8975,0.3342,1.4313,1.1735,0.5764,0.7775,0.3386,0.8793,0.6504,0.3284,0.8214,0.9633,1.0453,0.7812,0.7566,0.2683,1.0516,19.0000
