theme_code,theme_name,NIH-Wide,NCI,NHGRI,NHLBI,NIA,NIAAA,NIAID,NIAMS,NIBIB,NICHD,NIDA,NIDDK,NIEHS,NIGMS,NIMH,NIMHD,NINDS,NLM,NCATS,NCCIH,NEI,row_total
1,Cardiometabolic disease,1.0000,0.0000,0.0000,8.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.0000,11.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,30.0000
2,Genomics methods & complex-trait genetics,2.0000,1.0000,9.0000,4.0000,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,1.0000,2.0000,1.0000,2.0000,3.0000,2.0000,1.0000,2.0000,1.0000,0.0000,1.0000,36.0000
3,"Methods, infrastructure & phenotyping (non-genomic)",5.0000,3.0000,2.0000,4.0000,1.0000,1.0000,0.0000,1.0000,4.0000,0.0000,1.0000,1.0000,2.0000,1.0000,1.0000,2.0000,2.0000,7.0000,3.0000,3.0000,2.0000,46.0000
4,"Mental health, behavioral & substance use",1.0000,0.0000,0.0000,1.0000,1.0000,7.0000,0.0000,0.0000,0.0000,2.0000,7.0000,1.0000,0.0000,0.0000,8.0000,1.0000,1.0000,1.0000,0.0000,4.0000,0.0000,35.0000
5,Cancer,1.0000,13.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,17.0000
6,Social determinants of health & health disparities,3.0000,4.0000,3.0000,3.0000,3.0000,2.0000,1.0000,1.0000,0.0000,1.0000,3.0000,3.0000,3.0000,1.0000,1.0000,10.0000,2.0000,1.0000,0.0000,1.0000,1.0000,47.0000
7,Wearables & digital health,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000
8,Infectious disease & immunology,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,5.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0000
9,Autoimmune & inflammatory disease,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,4.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0000
10,Rare disease & Mendelian genetics,1.0000,1.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000,0.0000,1.0000,12.0000
11,"Aging, frailty & ADRD",1.0000,0.0000,0.0000,0.0000,8.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,3.0000,0.0000,0.0000,0.0000,0.0000,14.0000
12,Dermatology,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.0000
13,Respiratory & sleep medicine,0.0000,0.0000,0.0000,7.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0000
14,Neurology (non-ADRD),0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,7.0000,0.0000,0.0000,1.0000,0.0000,12.0000
15,"Pregnancy, maternal & women's health",2.0000,1.0000,0.0000,1.0000,0.0000,2.0000,0.0000,0.0000,0.0000,5.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0000
16,Pharmacogenomics & drug response,1.0000,1.0000,3.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,14.0000
17,"ELSI, participant engagement & recruitment",3.0000,2.0000,2.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,3.0000,0.0000,2.0000,1.0000,1.0000,0.0000,18.0000
18,"Ophthalmology, ENT & sensory medicine",1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,8.0000
19,Environmental health & climate,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,6.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,11.0000
TOTAL,,23.0000,26.0000,23.0000,32.0000,19.0000,15.0000,13.0000,10.0000,8.0000,11.0000,14.0000,25.0000,12.0000,7.0000,18.0000,21.0000,17.0000,15.0000,15.0000,12.0000,13.0000,349.0000
