record_id,pubmed_id,year,title,themes,ic_admin_original,ic_admin_reattributed,cofunding_ics_original,fractional_attribution
1,36261664,2022,Onychomycosis in underrepresented groups: an all of us database analysis,3;6;12,,,,NLM(0.333);NIMHD(0.333);NIAMS(0.233);NCI(0.100)
2,36441011,2022,Burden of atopic disease in Black and Hispanic patients with alopecia areata: a case-control study in the All of Us research program,6;12,,,,NIMHD(0.500);NIAMS(0.350);NCI(0.150)
3,35442391,2022,"Prevalence, Comorbidity, and Sociodemographic Correlates of Psychiatric Disorders Reported in the All of Us Research Program",4;6,OD,NIMHD(0.50);NIMH(0.35);NIDA(0.10);NIAAA(0.05),OD;TR,NIMHD(0.500);NIMH(0.350);NIDA(0.100);NIAAA(0.050)
6,36540962,2022,Risk for Poor Post-Operative Quality of Life Among Wearable Use Subgroups in an All of Us Research Cohort,7;11,HG,HG,HG;OD,NIA(0.400);NIBIB(0.250);NHLBI(0.100);NINDS(0.100);NIDDK(0.075);NIMH(0.075)
7,36549934,2022,Sociodemographic characteristics differ across routine adult vaccine cohorts: An All of Us descriptive study,6;8,,,,NIMHD(0.500);NIAID(0.500)
9,36654923,2023,Visualization and Quantification of the Association Between Breast Cancer and Cholesterol in the All of Us Research Program,1;5,HL;OD,HL;OD,HL;OD,NCI(0.500);NHLBI(0.350);NIDDK(0.150)
17,36931428,2023,Evaluating Discrepancies in Self-Reported Glaucoma and Electronic Health Records in the National Institutes of Health All of Us Database,3;6;18,OD,NLM(0.33);NIMHD(0.33);NEI(0.33),OD;TR,NLM(0.333);NIMHD(0.333);NEI(0.333)
19,36939705,2023,Daily Step Counts Before and After the COVID-19 Pandemic Among All of Us Research Participants,8,HL;OD,HL;OD,HL;OD;TR,NIAID(1.000)
21,37884626,2023,Underrepresentation of blind and deaf participants in the All of Us Research Program,6,HG;OD,HG;OD,HG;OD;TR,NIMHD(1.000)
23,37902258,2023,Neuropsychiatric complications and associated management in adolescent and young adult cancer survivors: An All of Us study,5;14,CA;OD,CA;OD,CA;OD,NCI(0.500);NINDS(0.500)
26,37947093,2023,"Association Between a First-Degree Family History and Self-Reported Personal History of Obesity, Diabetes, and Heart and Blood Conditions: Results From the All of Us Research Program",1;6,OD,NIMHD(0.50);NHLBI(0.35);NIDDK(0.15),OD;TR,NIMHD(0.500);NHLBI(0.350);NIDDK(0.150)
28,37967342,2023,Association between atopic dermatitis and inflammatory bowel disease among US adults in the All of Us Research Program,9;12,OD,NIAMS(0.60);NIAID(0.25);NCI(0.15),OD;TR,NIAMS(0.600);NIAID(0.250);NCI(0.150)
29,37962879,2023,Genome-Wide Polygenic Risk Score for CKD in Individuals with APOL1 High-Risk Genotypes,1;2,DK;OD,DK;OD,DK;OD;TR,NHGRI(0.500);NHLBI(0.350);NIDDK(0.150)
30,37971726,2023,Social Determinants of Health and Perceived Barriers to Care in Diabetic Retinopathy Screening,1;6;18,EY;OD,EY;OD,EY;HG;NR;OD;TR,NIMHD(0.333);NEI(0.333);NHLBI(0.233);NIDDK(0.100)
32,38011981,2023,Integrating participants as partners in research governance and operations: an approach from the All of Us Research Program Engagement Core,17,CA;HS;MD;OD;TR,CA;HS;MD;OD;TR,CA;EY;HG;HS;MD;NR;OD;TR,NIH-Wide(0.700);NHGRI(0.300)
