workspaceId,snapshotId,title,accessTier,ubrFocus,themes,subthemes,is_meta,in_substantive_corpus,tag_evidence_summary
35015,66857,20251024_rs7636910,Controlled Tier,False,1;2;14;16,,false,true,1:stroke|cardiovascular disease|cardiovascular; 2:genotype|ancestry|genetic variant; 14:stroke|headache; 16:pharmacogenomic|cilostazol
32979,66806,Adrenalectomy V8,Controlled Tier,False,1;2;14,,false,true,1:hypertension|stroke|blood pressure|renal|creatinine|BMI; 2:GWAS; 14:stroke
35014,66856,XPC Analysis Workspace,Controlled Tier,False,5;10;11,,false,true,5:llm-judgment: cancer susceptibility gene XPC; 10:pathogenic variant; 11:Parkinson's disease|Parkinson
34835,66818,PPD Dataset,Registered Tier,True,4;15,,false,true,4:depression|mental health; 15:pregnancy|postpartum|maternal
35013,66855,Vit. D Deficiency and Ehlers Danlos and Osteogenesis Imperfecta,Controlled Tier,False,10,,false,true,10:llm-judgment: Ehlers-Danlos + osteogenesis imperfecta = rare/Mendelian
35012,66854,Identification of New Genetic Associations with Vascular Disorders (N3),Controlled Tier,False,1;2,,false,true,1:llm-judgment: aortic / vascular disease; 2:llm-judgment: genetic association study
31950,66803,Identification of New Genetic Associations with Vascular Disorders (N),Controlled Tier,False,1;2,,false,true,1:llm-judgment: aortic / vascular disease; 2:llm-judgment: genetic association study
34811,66816,Identification of New Genetic Associations with Vascular Disorders (N2),Controlled Tier,False,1;2,,false,true,1:llm-judgment: aortic / vascular disease; 2:llm-judgment: genetic association study
35009,66851,Proteomics,Controlled Tier,False,2;3,,false,true,2:GWAS|GWAS summary; 3:machine learning|deep learning
30582,66798,Genomic_Analysis_Reg_other,Controlled Tier,False,2,,false,true,2:GWAS|heritability|genome-wide|genome-wide association|eQTL|association study|genomic
35008,66850,Predictors of PSA Testing and Screening Patterns,Registered Tier,False,3;5;6,,false,true,3:Researcher Workbench|electronic health record|workbench; 5:PSA testing|prostate cancer|cancer screening|PSA|cancer; 6:race and ethnicity|discrimination
31813,66802,v8_PheWAS analysis for Tandem Repeat Expansions,Controlled Tier,True,2,,false,true,2:PheWAS|GWAS|genotype|tandem repeat|loci|ancestry
35007,66849,Pain_Prediction,Registered Tier,False,3;4,,false,true,3:llm-judgment: deep learning prediction; 4:llm-judgment: pain — chronic pain themed
35006,66848,PreE_Omics,Controlled Tier,True,1;15,,false,true,1:preeclampsia; 15:maternal health|preeclampsia|maternal
28851,66796,WUSM Bolton Lab - IDH Clonal Hematopoiesis and CVD (v8),Controlled Tier,False,1;2,,false,true,1:llm-judgment: cardiovascular disease focus; 2:llm-judgment: clonal hematopoiesis genomics
35004,66846,SepsisAKI,Controlled Tier,False,1;2;8,,false,true,2:llm-judgment: genetic risk scores; 1:llm-judgment: acute kidney injury; 8:llm-judgment: sepsis
35003,66845,Pathogenic Variant Detection in Common Variable Immunodeficiency Patients,Controlled Tier,False,2;8;10,,false,true,2:whole genome sequencing|polygenic; 8:antibody|infection; 10:pathogenic variant|rare disease|primary immunodeficiency
18633,66786,COPD and Nicotine/Tobacco Use (Controlled Tier),Controlled Tier,True,4;13,,false,true,4:tobacco|nicotine; 13:COPD|chronic obstructive|pulmonary
33256,66808,Machine learning for genetic risk prediction of Blood Pressure and hypertension,Controlled Tier,False,1;2;3,,false,true,1:hypertension|blood pressure; 2:PRS|multi-ancestry|SNP|genotype|ancestry|genetic risk; 3:machine learning|gradient boosting|risk prediction
26467,66792,Rare_genetic_variations_in_a_diverse_population_v8,Controlled Tier,True,1;2;3,,false,true,1:atrial fibrillation|heart failure|diabetes|cardiometabolic|arrhythmia|cardiac|obesity|vascular disease; 2:WGS|PRS|whole-genome sequencing|GWAS|association studies|common variant|rare variant|ancestry|phenome-wide; 3:phecode|EHR|ICD|risk prediction
