record_id,pubmed_id,year,title,journal,themes,subthemes,is_meta,in_substantive_corpus,admin_ics,cofunding_ics,tag_evidence_summary
1,36261664,2022,Onychomycosis in underrepresented groups: an all of us database analysis,Archives of Dermatological Research,3;6;12,,false,true,,,3:electronic health record|EHR; 6:underrepresented groups|disparity|income|Hispanic|underrepresented; 12:psoriasis|onychomycosis|dermatologic
2,36441011,2022,Burden of atopic disease in Black and Hispanic patients with alopecia areata: a case-control study in the All of Us research program,International Journal of Dermatology,6;12,,false,true,,,6:Hispanic; 12:alopecia|alopecia areata
3,35442391,2022,"Prevalence, Comorbidity, and Sociodemographic Correlates of Psychiatric Disorders Reported in the All of Us Research Program",JAMA Psychiatry,4;6,,false,true,OD,OD;TR,4:anxiety|schizophrenia|stress|mood disorder|obsessive-compulsive|substance use|psychiatric; 6:sexual minority|minority|disparities|socioeconomic|Hispanic
6,36540962,2022,Risk for Poor Post-Operative Quality of Life Among Wearable Use Subgroups in an All of Us Research Cohort,Pacific Symposium on Biocomputing. Pacific Symposium on Biocomputing,7;11,,false,true,HG,HG;OD,7:wearable|wearable device; 11:frailty|frailty index
7,36549934,2022,Sociodemographic characteristics differ across routine adult vaccine cohorts: An All of Us descriptive study,Journal of the American Pharmacists Association : JAPhA,6;8,,false,true,,,6:disparities|Latino|disparity|income|Hispanic; 8:vaccine|hepatitis
9,36654923,2023,Visualization and Quantification of the Association Between Breast Cancer and Cholesterol in the All of Us Research Program,Cancer Informatics,1;5,,false,true,HL;OD,HL;OD,1:lipid|cholesterol; 5:breast cancer|cancer
17,36931428,2023,Evaluating Discrepancies in Self-Reported Glaucoma and Electronic Health Records in the National Institutes of Health All of Us Database,Ophthalmology. Glaucoma,3;6;18,,false,true,OD,OD;TR,3:electronic health record|EHR; 6:Latino|income|Hispanic|African American|education level; 18:glaucoma
19,36939705,2023,Daily Step Counts Before and After the COVID-19 Pandemic Among All of Us Research Participants,JAMA Network Open,8,,false,true,HL;OD,HL;OD;TR,8:COVID-19
21,37884626,2023,Underrepresentation of blind and deaf participants in the All of Us Research Program,Nature Medicine,6,,false,true,HG;OD,HG;OD;TR,6:health disparities|disparities|socioeconomic|income|African American|marginalized|underrepresented
23,37902258,2023,Neuropsychiatric complications and associated management in adolescent and young adult cancer survivors: An All of Us study,Cancer Medicine,5;14,,false,true,CA;OD,CA;OD,5:cancer survivors|cancer; 14:epilepsy|neuropathy|neurological
26,37947093,2023,"Association Between a First-Degree Family History and Self-Reported Personal History of Obesity, Diabetes, and Heart and Blood Conditions: Results From the All of Us Research Program",Journal of the American Heart Association,1;6,,false,true,OD,OD;TR,1:type 2 diabetes|hypertension|diabetes|cardiometabolic|cholesterol|coronary|obesity; 6:minority|income|racial and ethnic|gender minority
