record_id,pubmed_id,year,title,journal,themes,subthemes,is_meta,in_substantive_corpus,admin_ics,cofunding_ics,tag_evidence_summary
1,36261664,2022,Onychomycosis in underrepresented groups: an all of us database analysis,Archives of Dermatological Research,3;6;12,,false,true,,,3:electronic health record|EHR; 6:underrepresented groups|disparity|underrepresented|income|Hispanic; 12:dermatologic|onychomycosis|psoriasis
2,36441011,2022,Burden of atopic disease in Black and Hispanic patients with alopecia areata: a case-control study in the All of Us research program,International Journal of Dermatology,6;12,,false,true,,,6:Hispanic; 12:alopecia areata|alopecia
3,35442391,2022,"Prevalence, Comorbidity, and Sociodemographic Correlates of Psychiatric Disorders Reported in the All of Us Research Program",JAMA Psychiatry,3;4;6;17,,false,true,OD,OD;TR,3:ICD|ICD-10|EHR; 4:depression|anxiety|schizophrenia|obsessive-compulsive|substance use|psychiatric|stress|mood disorder; 6:LGBTQ|health disparities|racism|African American|equity|racial and ethnic|socioeconomic|disparities|sexual minority|income|minority|race and ethnicity|Hispanic; 17:biospecimen|informed consent|recruitment
6,36540962,2022,Risk for Poor Post-Operative Quality of Life Among Wearable Use Subgroups in an All of Us Research Cohort,Pacific Symposium on Biocomputing. Pacific Symposium on Biocomputing,3;6;7;11,,false,true,HG,HG;OD,3:AUC|EHR|predictive model|machine learning|model performance; 6:Latino|income|Hispanic; 7:Fitbit|wearable|physical activity|sedentary|wearable device; 11:frailty index|frailty
7,36549934,2022,Sociodemographic characteristics differ across routine adult vaccine cohorts: An All of Us descriptive study,Journal of the American Pharmacists Association : JAPhA,6;8,,false,true,,,6:disparity|Latino|disparities|income|Hispanic; 8:vaccine|hepatitis
9,36654923,2023,Visualization and Quantification of the Association Between Breast Cancer and Cholesterol in the All of Us Research Program,Cancer Informatics,1;3;5,,false,true,HL;OD,HL;OD,1:HDL|cholesterol|LDL|BMI|lipid|statin; 3:electronic health record|ICD|EHR|notebook; 5:breast cancer|carcinoma|cancer
17,36931428,2023,Evaluating Discrepancies in Self-Reported Glaucoma and Electronic Health Records in the National Institutes of Health All of Us Database,Ophthalmology. Glaucoma,3;6;18,,false,true,OD,OD;TR,3:electronic health record|EHR; 6:African American|education level|Latino|income|Hispanic; 18:glaucoma
19,36939705,2023,Daily Step Counts Before and After the COVID-19 Pandemic Among All of Us Research Participants,JAMA Network Open,3;4;6;7;8;17,,false,true,HL;OD,HL;OD;TR,3:Researcher Workbench|workbench; 4:depression|mental health|psychological|stress; 6:health disparities|deprivation|socioeconomic|disparities; 7:Fitbit|physical activity; 8:COVID-19|infection|vaccine; 17:research training|informed consent
21,37884626,2023,Underrepresentation of blind and deaf participants in the All of Us Research Program,Nature Medicine,6,,false,true,HG;OD,HG;OD;TR,6:health disparities|African American|socioeconomic|underrepresented|disparities|income|marginalized
23,37902258,2023,Neuropsychiatric complications and associated management in adolescent and young adult cancer survivors: An All of Us study,Cancer Medicine,3;4;5;6;13;14;17,,false,true,CA;OD,CA;OD,3:AoU Researcher Workbench|Researcher Workbench|workbench|OMOP|missing data|claims data|EHR|notebook; 4:depression|anxiety|psychiatric|stress; 5:cancer survivors|breast cancer|radiotherapy|cancer|chemotherapy|survivorship; 6:education level|minorities|racial and ethnic|income; 13:insomnia; 14:migraine|epilepsy|neurological|neuropathy; 17:ethics|recruitment
26,37947093,2023,"Association Between a First-Degree Family History and Self-Reported Personal History of Obesity, Diabetes, and Heart and Blood Conditions: Results From the All of Us Research Program",Journal of the American Heart Association,1;2;3;6;14,,false,true,OD,OD;TR,1:stroke|hypertension|heart failure|atrial fibrillation|type 2 diabetes|obesity|metabolic syndrome|cholesterol|coronary|blood pressure|cardiometabolic|aortic|insulin resistance|carotid|deep vein thrombosis|diabetes|aneurysm|atrial flutter|thrombosis|atherosclerosis|heart disease|cardiovascular disease|cardiovascular|vascular disease|cardiac|pulmonary embolism; 2:genetic risk|association study; 3:AoU Researcher Workbench|Researcher Workbench|clustering|workbench; 6:health disparities|social determinants of health|gender minority|UBR|racial and ethnic|socioeconomic|disparities|income|minority|race and ethnicity|Hispanic|housing; 14:stroke
28,37967342,2023,Association between atopic dermatitis and inflammatory bowel disease among US adults in the All of Us Research Program,Clinical and Experimental Dermatology,9;12,,false,true,OD,OD;TR,9:inflammatory bowel disease|ulcerative colitis|Crohn; 12:dermatitis|atopic dermatitis
29,37962879,2023,Genome-Wide Polygenic Risk Score for CKD in Individuals with APOL1 High-Risk Genotypes,Clinical Journal of the American Society of Nephrology : CJASN,1;2;3,,false,true,DK;OD,DK;OD;TR,1:type 2 diabetes|CKD|diabetes|kidney disease|eGFR; 2:PRS|polygenic risk score|GWAS|genotype|locus|genome-wide association|genome-wide|ancestry|association study|polygenic; 3:electronic health record|validation cohort
30,37971726,2023,Social Determinants of Health and Perceived Barriers to Care in Diabetic Retinopathy Screening,JAMA Ophthalmology,1;6;18,,false,true,EY;OD,EY;HG;NR;OD;TR,1:type 2 diabetes|diabetic|diabetes; 6:social determinants of health|food insecurity|equity|socioeconomic|disparities|housing; 18:diabetic retinopathy|retinopathy|eye care
32,38011981,2023,Integrating participants as partners in research governance and operations: an approach from the All of Us Research Program Engagement Core,BMJ Open,17,,false,true,CA;HS;MD;OD;TR,CA;EY;HG;HS;MD;NR;OD;TR,17:participant engagement|trust|community engagement|recruitment|stakeholder
