record_id,pubmed_id,year,themes,focus_areas,n_focus_areas,is_orphan_pub,title
1,36261664,2022,3;6;12,FA1;FA7,2,0,Onychomycosis in underrepresented groups: an all of us database analysis
2,36441011,2022,6;12,FA1;FA7,2,0,Burden of atopic disease in Black and Hispanic patients with alopecia areata: a case-control study in the All of Us research program
3,35442391,2022,4;6,FA1;FA5;FA7,3,0,"Prevalence, Comorbidity, and Sociodemographic Correlates of Psychiatric Disorders Reported in the All of Us Research Program"
6,36540962,2022,7;11,FA1;FA3,2,0,Risk for Poor Post-Operative Quality of Life Among Wearable Use Subgroups in an All of Us Research Cohort
7,36549934,2022,6;8,FA1;FA7,2,0,Sociodemographic characteristics differ across routine adult vaccine cohorts: An All of Us descriptive study
9,36654923,2023,1;5,FA1;FA8,2,0,Visualization and Quantification of the Association Between Breast Cancer and Cholesterol in the All of Us Research Program
17,36931428,2023,3;6;18,FA1;FA7,2,0,Evaluating Discrepancies in Self-Reported Glaucoma and Electronic Health Records in the National Institutes of Health All of Us Database
19,36939705,2023,8,FA1,1,0,Daily Step Counts Before and After the COVID-19 Pandemic Among All of Us Research Participants
21,37884626,2023,6,FA7,1,0,Underrepresentation of blind and deaf participants in the All of Us Research Program
23,37902258,2023,5;14,FA1;FA8,2,0,Neuropsychiatric complications and associated management in adolescent and young adult cancer survivors: An All of Us study
26,37947093,2023,1;6,FA1;FA7;FA8,3,0,"Association Between a First-Degree Family History and Self-Reported Personal History of Obesity, Diabetes, and Heart and Blood Conditions: Results From the All of Us Research Program"
28,37967342,2023,9;12,FA1;FA7,2,0,Association between atopic dermatitis and inflammatory bowel disease among US adults in the All of Us Research Program
29,37962879,2023,1;2,FA1;FA8,2,0,Genome-Wide Polygenic Risk Score for CKD in Individuals with APOL1 High-Risk Genotypes
30,37971726,2023,1;6;18,FA1;FA7;FA8,3,0,Social Determinants of Health and Perceived Barriers to Care in Diabetic Retinopathy Screening
32,38011981,2023,17,FA4;FA7,2,0,Integrating participants as partners in research governance and operations: an approach from the All of Us Research Program Engagement Core
35,38374255,2024,2;3;6,FA7;FA8,2,0,Genomic data in the All of Us Research Program
36,37878135,2023,5;6,FA1;FA7;FA8,3,0,Prostate-specific antigen testing rates in high-risk populations: results from the All of Us Research Program
39,,2023,4,FA1;FA5,2,0,The prevalence of substance use disorders in chiropractic patients in the United States: a descriptive study of two national datasets
40,38095106,2023,1;3,FA1;FA8,2,0,Prediction of Venous Thromboembolism in Diverse Populations Using Machine Learning and Structured Electronic Health Records
41,38128831,2023,4;9,FA1;FA5,2,0,Depression in patients with Raynaud's phenomenon: A case-control study in the National Institutes of Health's All of Us Research Program
42,38108577,2023,12;13;18,FA1;FA7,2,0,Associations between hidradenitis suppurativa and asthma and allergic rhinitis: a case-control study in the All of Us research program
43,38108533,2023,9;12,FA1;FA7,2,0,Prevalence of generalized pustular psoriasis in the United States using the All of Us research database
45,38178151,2024,6;13;18,FA1;FA7,2,0,Racial differences in length of stay and readmission for asthma in the all of us research program
46,38053191,2023,2,FA8,1,0,Reconstruction of private genomes through reference-based genotype imputation
48,38232143,2024,1;6,FA1;FA7;FA8,3,0,"Neighborhood Deprivation, Race, Ethnicity, and Undiagnosed Hypertension: Results From the All of Us Research Program"
50,38225170,2024,2;6;10,FA1;FA4;FA7;FA8,4,0,"VEXAS-Defining UBA1 Somatic Variants in 245,368 Diverse Individuals in the NIH All Of Us Cohort"
52,38156811,2023,12,FA1;FA7,2,0,Underdiagnosis of Allergic Contact Dermatitis in Under-Represented Groups: An All of Us Database Analysis
53,38222375,2024,3;15,FA2,1,0,Computational Phenotyping of OMOP CDM Normalized EHR for Prenatal and Postpartum Episodes: An Informatics Framework and Clinical Implementation on All of Us
54,38200661,2023,18,FA1;FA7,2,0,Access to Eye Care Providers and Glaucoma Severity in the National Institutes of Health All of Us Research Program
57,38305944,2024,9;12,FA1;FA7,2,0,Autoimmune and Cutaneous Inflammatory Comorbidities in Adult-Onset Morphea in the All of Us Research Program
58,38326799,2024,1;5;6;12,FA1;FA7;FA8,3,0,Relative predictive value of sociodemographic factors for chronic diseases among All of Us participants: a descriptive analysis
59,37473437,2023,6;18,FA1;FA7,2,0,Hearing Loss and Sociodemographic Barriers to Health Care Access Using the All of Us Research Program
61,38466772,2024,12,FA1;FA7,2,0,Association between atopic dermatitis and eating disorders: a cross-sectional study in the All of Us Research Program
63,,2024,1;3,FA1;FA8,2,0,The Effect of Data Missingness on Machine Learning Predictions of Uncontrolled Diabetes Using All of Us Data
69,38513967,2024,12,FA1;FA7,2,0,Association between alopecia areata and allergic diseases: An All of US database study
72,38553893,2024,4;9,FA1;FA5,2,0,Association of discoid lupus erythematous with substance use disorders: A case-control study in the all of us database
73,38554624,2024,4;5;6;15,FA1;FA2;FA5;FA7;FA8,5,0,Healthcare utilization in women diagnosed with endometrial cancer: A survey-based study
77,39505999,2024,1;2;3,FA1;FA8,2,0,Algorithms for the identification of prevalent diabetes in the All of Us Research Program validated using polygenic scores
78,39503795,2024,9;12,FA1;FA7,2,0,Comorbidities and autoimmune disease associations in patients with Bullous Pemphigoid: a cross-sectional study of the all of us database
83,38573646,2024,4;6;18,FA1;FA5;FA7,3,0,Mental Health Conditions Associated With Strabismus in a Diverse Cohort of US Adults
84,38561918,2024,1;4;6,FA1;FA5;FA7;FA8,4,0,"Weight-related discrimination, perceived stress and psychological and physical well-being of persons with type 2 diabetes: A mediation analysis"
87,37461222,2023,4;9;12,FA1;FA5;FA7,3,0,"Increased risk of depression in patients with discoid lupus erythematosus: a nested, case-control study in the All of Us Research Program"
93,37455380,2023,1,FA1;FA8,2,0,Use of medications associated with weight change among participants in the All of Us research programme
94,38627404,2024,6,FA7,1,0,Measuring social determinants of health in the All of Us Research Program
96,27532667,2016,17,FA4;FA7,2,0,A Survey of U.S Adults' Opinions about Conduct of a Nationwide Precision Medicine Initiative® Cohort Study of Genes and Environment
