term,recent_n,prior_n,share_prior_pct,share_recent_pct,growth_x,score
life span,6801,22,0.009,3.732,403.3,494.77
community advisory,2169,0,0.0,1.19,11902.7,437.06
community advisory board,2169,0,0.0,1.19,11902.7,437.06
older adult,6279,43,0.018,3.445,191.5,416.4
span,6844,80,0.033,3.755,112.5,390.71
community partners,2590,3,0.001,1.421,1054.1,354.23
anti-viral agents,1338,0,0.0,0.734,7342.8,325.6
single cell atac-seq,1062,0,0.0,0.583,5828.4,282.56
cell atac-seq,1062,0,0.0,0.583,5828.4,282.56
extend lifespan,1022,0,0.0,0.561,5608.9,275.96
targets release,976,0,0.0,0.536,5356.5,268.24
cleavage targets,976,0,0.0,0.536,5356.5,268.24
release nuclease,976,0,0.0,0.536,5356.5,268.24
targets release nuclease,976,0,0.0,0.536,5356.5,268.24
cleavage targets release,976,0,0.0,0.536,5356.5,268.24
community collaboration,959,0,0.0,0.526,5263.2,265.35
human induced,2646,35,0.015,1.452,99.0,236.38
human induced pluripotent,2644,35,0.015,1.451,98.9,236.25
anti-viral response,760,0,0.0,0.417,4171.3,229.81
upregulation,3417,104,0.043,1.875,43.2,220.17
aging process,1243,3,0.001,0.682,505.9,219.52
anti-fungal agents,702,0,0.0,0.385,3853.0,218.76
anti-depressive agents,699,0,0.0,0.384,3836.5,218.18
anti-depressive,699,0,0.0,0.384,3836.5,218.18
age-related disease,1677,11,0.005,0.92,196.8,216.3
women mortality,689,0,0.0,0.378,3781.7,216.24
white women,683,0,0.0,0.375,3748.7,215.06
senescence secretory,665,0,0.0,0.365,3650.0,211.52
senescence secretory phenotype,665,0,0.0,0.365,3650.0,211.52
advisory board,2189,32,0.013,1.201,89.5,210.29
congenital heart abnormality,615,0,0.0,0.337,3375.6,201.48
heart abnormality,615,0,0.0,0.337,3375.6,201.48
structural mutation,614,0,0.0,0.337,3370.1,201.27
spatial transcriptomics,2456,57,0.024,1.348,56.6,200.0
aging mechanism,582,0,0.0,0.319,3194.5,194.67
anti-viral therapy,577,0,0.0,0.317,3167.1,193.62
spanish english,533,0,0.0,0.292,2925.7,184.26
functional impairment,1242,9,0.004,0.682,177.3,182.47
anti-malarials,500,0,0.0,0.274,2744.6,177.04
community academic,487,0,0.0,0.267,2673.3,174.14
community academic partnership,487,0,0.0,0.267,2673.3,174.14
lived experience,1327,15,0.006,0.728,114.8,172.8
regulatory approval,480,0,0.0,0.263,2634.8,172.57
disproportionately impacts women,469,0,0.0,0.257,2574.5,170.08
impacts women,469,0,0.0,0.257,2574.5,170.08
disproportionately impacts,469,0,0.0,0.257,2574.5,170.08
anti-hypertensive agents,456,0,0.0,0.25,2503.2,167.1
cell derived human,455,0,0.0,0.25,2497.7,166.87
derived human neuron,455,0,0.0,0.25,2497.7,166.87
microbiota composition,444,0,0.0,0.244,2437.3,164.33
anti-microbial peptide,437,0,0.0,0.24,2398.9,162.7
women diagnosis,436,0,0.0,0.239,2393.4,162.46
autism symptoms,407,0,0.0,0.223,2234.3,155.58
secretory phenotype,665,2,0.001,0.365,391.5,153.95
acceleration,19413,8897,3.702,10.652,2.9,147.25
dimension reduction,364,0,0.0,0.2,1998.3,145.0
derived induced pluripotent,755,5,0.002,0.414,190.0,144.18
nanostring,354,0,0.0,0.194,1943.5,142.47
fda-approved drug,352,0,0.0,0.193,1932.5,141.96
anti-microbial,851,9,0.004,0.467,121.5,140.02
derived induced,755,6,0.002,0.414,159.6,139.38
lineage tracing,1056,19,0.008,0.579,72.4,139.15
appropriate intervention,338,0,0.0,0.185,1855.7,138.36
culturally appropriate intervention,338,0,0.0,0.185,1855.7,138.36
disproportionately,476,1,0.0,0.261,506.3,135.86
interferon-,327,0,0.0,0.179,1795.3,135.5
anti-microbial drug,325,0,0.0,0.178,1784.3,134.97
