term,recent_n,prior_n,share_prior_pct,share_recent_pct,growth_x,score
alphafold3,263,1,0.001,0.178,226.4,87.93
llms,943,131,0.09,0.637,7.1,60.15
therapeutic,15307,9495,6.506,10.34,1.6,57.31
language llms,779,112,0.077,0.526,6.8,53.7
agentic,117,1,0.001,0.079,100.8,49.9
preserving,1907,608,0.417,1.288,3.1,49.29
gpt-4o,133,2,0.001,0.09,61.2,47.44
biologically grounded,150,3,0.002,0.101,47.0,47.17
foundation,4039,1896,1.299,2.728,2.1,47.15
sonnet,57,0,0.0,0.039,386.0,44.97
remodeling,4030,1978,1.355,2.722,2.0,44.27
ai-driven,390,43,0.029,0.263,8.9,43.2
llm-based,158,5,0.003,0.107,30.3,42.88
genomic foundation,53,0,0.0,0.036,359.0,42.83
mechanistic,6654,3892,2.667,4.495,1.7,42.58
architecture,6606,3868,2.65,4.462,1.7,42.34
gpt-5,52,0,0.0,0.035,352.3,42.29
incompletely,2008,779,0.534,1.356,2.5,41.78
spanning,2789,1248,0.855,1.884,2.2,41.71
boltz-2,50,0,0.0,0.034,338.7,41.19
platform,6865,4133,2.832,4.637,1.6,40.86
grounded,696,151,0.103,0.47,4.5,39.92
incompletely defined,312,32,0.022,0.211,9.6,39.9
orthoflavivirus,47,0,0.0,0.032,318.5,39.51
deepseek,47,0,0.0,0.032,318.5,39.51
reshapes,455,71,0.049,0.307,6.3,39.28
shifts,3531,1799,1.233,2.385,1.9,39.22
interpretable,1897,764,0.524,1.281,2.4,38.98
macro-f1,46,0,0.0,0.031,311.7,38.94
traditional,4846,2748,1.883,3.273,1.7,38.49
language,4174,2272,1.557,2.819,1.8,38.37
limited,16033,11725,8.034,10.83,1.3,37.81
integration,5983,3626,2.485,4.041,1.6,37.63
practical,2877,1409,0.965,1.943,2.0,37.52
masld,188,12,0.008,0.127,15.3,37.38
through,33263,26718,18.308,22.469,1.2,37.35
demonstrating,4758,2732,1.872,3.214,1.7,37.28
metabolic dysfunction-associated,210,16,0.011,0.142,12.8,36.98
workflows,1697,683,0.468,1.146,2.4,36.9
dysfunction-associated,211,17,0.012,0.143,12.1,36.26
profiling,6295,3933,2.695,4.252,1.6,36.18
structured,2965,1508,1.033,2.003,1.9,36.03
practical route,41,0,0.0,0.028,277.9,36.03
transcriptomic,6225,3892,2.667,4.205,1.6,35.92
disease masld,166,10,0.007,0.112,16.1,35.84
liver disease masld,165,10,0.007,0.111,16.0,35.65
resilience,2065,929,0.637,1.395,2.2,35.64
elevated,6682,4269,2.925,4.514,1.5,35.45
llms increasingly,40,0,0.0,0.027,271.2,35.44
embeddings,1015,330,0.226,0.686,3.0,35.33
incorporating,3023,1572,1.077,2.042,1.9,35.16
shaping,2521,1234,0.846,1.703,2.0,35.15
validation,5812,3617,2.478,3.926,1.6,35.06
contexts,3245,1730,1.185,2.192,1.8,35.01
claude,113,4,0.003,0.076,26.9,35.0
often,14289,10523,7.211,9.652,1.3,34.86
crucial,10184,7108,4.871,6.879,1.4,34.84
mechanisms,24207,19150,13.122,16.351,1.2,34.23
linked,9382,6511,4.462,6.337,1.4,34.0
emphasizing,1241,466,0.319,0.838,2.6,33.99
unclear,11418,8198,5.617,7.713,1.4,33.87
spatial transcriptomics,1392,555,0.38,0.94,2.5,33.77
achieves,1916,875,0.6,1.294,2.2,33.68
targeted,8527,5843,4.004,5.76,1.4,33.58
zero-shot,368,63,0.043,0.249,5.7,33.55
primarily,5763,3654,2.504,3.893,1.6,33.5
outperforming,882,283,0.194,0.596,3.1,33.32
metrics,3773,2165,1.484,2.549,1.7,33.24
pronounced,2645,1369,0.938,1.787,1.9,33.13
exhibiting,2121,1019,0.698,1.433,2.1,33.1
conventional,4809,2947,2.019,3.248,1.6,32.96
reduced,18273,14126,9.68,12.343,1.3,32.86
