pubmed_id,year,title,journal,themes,subthemes,publication_types
42344593,2026,Ambient Air Pollution and Hospital Admissions of AECOPD in 10 Regions of China: A Self-Controlled Study Based on a Cohort.,"Environment & health (Washington, D.C.)",13;19,,Journal Article
42340288,2026,Associations Between PM2.5 Components and Cardiovascular Diseases: A Cohort Study of 0.5 Million Chinese Adults.,Journal of the American College of Cardiology,1;14;19,,Journal Article
42292198,2026,"Smoking and mortality risk in COPD patients: a prospective cohort study in Sichuan, China.",Frontiers in medicine,1;4;13,,Journal Article
42280459,2026,Dietary Clusters and Mortality Risk in a Chinese Population: The Role of Type 2 Diabetes and Hypertension.,Nutrients,1,,Journal Article
42269188,2026,"Associations of sleep duration and insomnia with cardiometabolic disease onset, multimorbidity, and mortality: A prospective study in 461,046 Chinese adults.",Sleep medicine,1;7;13,,Journal Article
42253047,2026,Early menopause and cardiovascular disease risk: triangulating the evidence with a combined analysis.,Climacteric : the journal of the International Menopause Society,1;2;15,,Journal Article
42234996,2026,Alcohol Consumption and Age-Specific Risk of Esophageal Cancer: Prospective Cohort Study.,JMIR public health and surveillance,5,,Journal Article
42218728,2026,Liver Aging Index: A Noninvasive Score for Liver Biological Aging and Liver-Related Outcomes in Multicohorts.,Aging cell,1;5;11,,Journal Article
42185315,2026,Life's essential 8 and longevity: the sustained impact of cardiovascular health on mortality from middle age to centenarians.,npj aging,1;11,,Journal Article
42152523,2026,Burden and Correlates of Multiple Chronic Infections and Their Associations With Cancer Incidence in Chinese Adults: A Large Case-Cohort Study.,International journal of cancer,5,,Journal Article
42152146,2026,Genome-wide meta-analysis across East Asian and European populations provides insights into the molecular basis of lung cancer.,Genome medicine,2;5,,Journal Article
42144279,2026,Abdominal adiposity and accelerated biological ageing in relation to general and cardiovascular ageing in Chinese adults.,Heart (British Cardiac Society),1;11,,Journal Article
42144253,2026,Associations of Social Determinants and Lifestyle Factors With Incidence and Dynamic Progression of Type 2 Diabetes in the Chinese Population.,"Diabetes, obesity & metabolism",1,,Journal Article
42115889,2026,"Frequency of fish/seafood consumption and risk of stroke: a prospective cohort study in Zhejiang, China.",Nutrition & metabolism,1;14,14.2-stroke-cerebro,Journal Article
42112160,2026,Trends in 10th Revision of the International Classification of Diseases-Coded CKD Incidence Among Chinese Adults.,Kidney international reports,1,,Journal Article
42069119,2026,"Secondhand and thirdhand smoke exposure and the risk of liver cancer: a prospective cohort study of 315,833 Chinese never smokers.","Environmental pollution (Barking, Essex : 1987)",5,,Journal Article
42020159,2026,[Observational and genetic epidemiological study on the association of alcohol consumption and chronic obstructive pulmonary disease in adults in 10 areas of China].,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,1;8;13;14,,Journal Article;Observational Study;English Abstract
42020158,2026,[Association of non-invasive atherosclerotic indicators with cardiovascular disease risk in adults in 10 areas of China].,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,1;14,,English Abstract;Journal Article
42020157,2026,[Associations of waist-to-hip ratio with mortality in older adults in 10 areas of China].,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,1;6;11,,English Abstract;Journal Article
42014462,2026,Circulating lipid subfractions and the risk of longitudinal adiposity progression: findings from the China Kadoorie Biobank.,International journal of obesity (2005),1,,Journal Article
41946746,2026,Synthetic data Using Population Profiles for cardiOvascular Risk facTors (SUPPORT) in mainland China.,Scientific data,1;3,,"Journal Article;Dataset;Research Support, Non-U.S. Gov't"
41881552,2026,Replacing sedentary behaviour with physical activity and all-cause mortality in older adults: two-cohort study in China and the UK.,Journal of epidemiology and community health,7;11,,Journal Article
41865480,2026,Short-term effects of temperature on physical activity and sedentary behavior in Chinese adults: An accelerometer-based analysis.,Environment international,7,,Journal Article
41861976,2026,Associations of lifestyle factors with survival and health statuses in Chinese older adults: a prospective cohort study.,American journal of preventive medicine,1;11;13;14,,Journal Article
41857632,2026,Multidimensional health poverty among diabetic adults in China: evidence from the China Kadoorie Biobank.,Archives of public health = Archives belges de sante publique,1;6,,Journal Article
41851747,2026,Optimizing colorectal cancer screening through polygenic risk score-based risk stratification: evidence from a population-based cohort and screening trial.,Genome medicine,2;5,,Journal Article
41848860,2026,"Association of physical activity with fracture: a prospective cohort study of 387,307 Chinese participants.",Osteoporosis international : a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis Foundation of the USA,7,,Journal Article
41846685,2026,Long-term cardiovascular risk after severe exacerbation of COPD: a population-based cohort study.,ERJ open research,1;13;14,,Journal Article
41835928,2026,"Diagnostic accuracy, treatment and prognosis of myocardial infarction: an 11-year follow-up of a community-based cohort of 0.5 million Chinese adults.",BMJ public health,1;6;14,,Journal Article
41813511,2026,Young adulthood adiposity in relation to all-cause and cause-specific mortality: a prospective study of 0.5 million Chinese adults.,Science bulletin,1,,Journal Article
41802284,2026,An integrative association analysis for complex diseases in underrepresented groups by leveraging the trans-ethnic genetic similarity.,Briefings in bioinformatics,2;6,,Journal Article
41772493,2026,Association between healthy lifestyle and risk of chronic kidney disease: a prospective cohort study of 0.5 million Chinese adults.,BMC public health,1,,Journal Article
41761476,2026,Impact of sleep habits on life expectancy free of cardiovascular disease in the Chinese population: a prospective cohort study.,"The journals of gerontology. Series A, Biological sciences and medical sciences",1;14,,Journal Article
41755627,2026,"Social determinants of health, life expectancy and future health risks among adults with rheumatoid arthritis: two cohort studies in the China and UK.",American journal of epidemiology,1;6;9,,Journal Article
41724869,2026,Hepatitis B Virus Infection and the Risk of Cardiovascular Disease: Findings From the China Kadoorie Biobank.,Journal of viral hepatitis,1;8;14,,Journal Article
41628730,2026,Dairy Consumption and Risk of Cardiometabolic Diseases: A Prospective Cohort Study of the China Kadoorie Biobank.,The Journal of nutrition,1;14,,Journal Article
41586004,2025,Physical activity in relation to risk of chronic obstructive pulmonary disease among Chinese adults: an 11-year prospective study.,Frontiers in sports and active living,7;13,,Journal Article
41566263,2026,[Factors influencing progression and regression of carotid intima-media thickening and plaques in population in 10 areas of China].,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,1,,English Abstract;Journal Article
41566262,2026,[Epidemiological analysis on tuberculosis incidence in population in 10 areas of China].,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,1;6;8,,English Abstract;Journal Article
41566261,2026,[Comparative analysis on type 2 diabetes incidence based on multisource data from China Kadoorie Biobank].,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,1;6;14,,Journal Article;Comparative Study;English Abstract
41460735,2025,Comprehensive Evaluation of Genotype Imputation Tools for Ultra-low-depth Whole-Genome Sequencing Data.,Journal of visualized experiments : JoVE,2,,"Journal Article;Video-Audio Media;Research Support, Non-U.S. Gov't"
41444232,2025,Proteomic signatures of smoking and their associations with risk of incident diseases and mortality in diverse populations.,Nature communications,1;3;4,,Journal Article
41419872,2025,Sleep quality and incidence of diabetes in 0.5 million Chinese adults.,BMC public health,1;6;7;11,,Journal Article
41388620,2026,"Associations of diabetes status, duration, and onset age with the risk of lung cancer: Results from the China Kadoorie Biobank study.",International journal of cancer,1;5,,Journal Article
41341656,2025,Cardiometabolic health and risk of dementia and brain atrophy: a community-based prospective cohort study of 0.5 million adults in China.,The Lancet regional health. Western Pacific,1;11;14,,Journal Article
41332622,2025,cpiVAE: Robust and Interpretable Cross-Platform Proteomics Imputation.,bioRxiv : the preprint server for biology,2;3,,Journal Article;Preprint
