theme_code,theme_name,aou_trend,peer_mean_trend,diff_peer_minus_aou,ukb_trend,finngen_trend,mvp_trend,ckb_trend,aou_share_overall,peer_median_share_overall
17,"ELSI, participant engagement & recruitment",-0.1231,-0.0035,0.1195,-0.0027,0.0007,-0.009,-0.0032,0.0502,0.0024
12,Dermatology,-0.0395,0.0111,0.0506,0.0024,0.0387,-0.005,0.0085,0.1434,0.0185
10,Rare disease & Mendelian genetics,0.0156,0.0512,0.0356,0.033,0.0876,0.048,0.0363,0.0393,0.1502
8,Infectious disease & immunology,-0.0214,-0.0067,0.0147,-0.0107,0.0118,-0.0442,0.0163,0.0575,0.0441
19,Environmental health & climate,0.0058,0.009,0.0033,0.0116,0.0084,0.0,0.016,0.0051,0.0121
16,Pharmacogenomics & drug response,0.0047,0.0046,-0.0001,0.0019,0.0067,0.0098,0.0,0.0233,0.0051
7,Wearables & digital health,0.0096,0.0072,-0.0025,0.0028,-0.0139,-0.0011,0.0409,0.0531,0.0387
6,Social determinants of health & health disparities,0.0312,0.0228,-0.0084,-0.0072,0.0012,0.0867,0.0106,0.3333,0.0648
3,"Methods, infrastructure & phenotyping (non-genomic)",0.0408,0.0303,-0.0106,0.0351,0.0013,0.0057,0.0789,0.1827,0.0605
18,"Ophthalmology, ENT & sensory medicine",0.016,0.0042,-0.0118,-0.0078,0.0013,0.0179,0.0053,0.0779,0.0458
11,"Aging, frailty & ADRD",0.0472,0.0343,-0.0129,0.0599,-0.033,0.0568,0.0536,0.0546,0.065
15,"Pregnancy, maternal & women's health",0.0232,0.0037,-0.0195,-0.0028,0.0254,0.0172,-0.0249,0.0269,0.0508
13,Respiratory & sleep medicine,0.0413,0.0036,-0.0377,-0.0006,-0.0068,0.0082,0.0136,0.0429,0.0786
9,Autoimmune & inflammatory disease,0.0592,0.0175,-0.0417,0.0141,0.0468,-0.0016,0.0107,0.0779,0.0319
14,Neurology (non-ADRD),0.0417,-0.0217,-0.0634,0.0189,-0.0701,-0.0363,0.0005,0.056,0.1294
5,Cancer,0.0943,0.03,-0.0643,-0.0001,-0.0002,0.0787,0.0417,0.1281,0.1393
2,Genomics methods & complex-trait genetics,0.1701,0.039,-0.1311,-0.0373,0.0308,0.0396,0.123,0.2525,0.6139
4,"Mental health, behavioral & substance use",0.108,-0.0361,-0.1441,-0.0067,-0.0133,-0.0806,-0.0438,0.1849,0.1325
1,Cardiometabolic disease,0.0982,-0.0611,-0.1593,0.0591,-0.1841,-0.0955,-0.0241,0.278,0.4285
