pubmed_id,year,title,journal,themes,subthemes,publication_types
42227395,2026,"Proteome-wide Mendelian Randomization and Colocalization Nominate CD58, PARP1, and Immune Co-stimulatory Pathways as Genetically Supported Targets for Multiple Sclerosis.",Current neuropharmacology,2;9;10;14,,Journal Article
42227366,2026,Target Perturbation of Genetically Proxied Antidiabetic Drug Targets and Pneumonia Risk: A Mendelian Randomization Analysis.,Current topics in medicinal chemistry,1;2;10,,Journal Article
42223506,2026,The Association Between Immune Cells and Venous Thromboembolism: A Causal Inference Based on Mendelian Randomization.,Clinical and applied thrombosis/hemostasis : official journal of the International Academy of Clinical and Applied Thrombosis/Hemostasis,1;2;10,,Journal Article
42220297,2026,Decoding the lipid-migraine link: a genetic and lipidomic investigation of migraine subtypes.,Journal of oral & facial pain and headache,1;2;14,,Journal Article
42219961,2026,Integrative multi-omics Mendelian randomization reveals key lipid metabolism genes as therapeutic targets for diabetic nephropathy pathogenesis.,Renal failure,1;2;10,,Journal Article
42218054,2026,"Genetically predicted gut bacteria, circulating bacteria-associated metabolites and liver cancer: A Mendelian randomisation study.",Digestive and liver disease : official journal of the Italian Society of Gastroenterology and the Italian Association for the Study of the Liver,1;5;10,,Journal Article
42216396,2026,Lipid-lowering drugs and essential hemorrhagic thrombocythemia's risk: A drug-target Mendelian randomization study.,Medicine,1;2;10,,Journal Article
42216389,2026,Association between coffee consumption and the risk of thyroid cancer: A Mendelian randomization study.,Medicine,2;5;10,,Journal Article
42216352,2026,Gut microbiota may influence Sjögren's syndrome risk through immune cell mediation: A Mendelian randomization analysis.,Medicine,2;9;10,,Journal Article;Observational Study
42216331,2026,The causal role of plasma metabolites in breast cancer susceptibility mediated by immune cells: A two-sample Mendelian randomization analysis.,Medicine,2;5;10,,Journal Article
42210767,2026,Noninvasive early warning markers for ovarian cancer: a Mendelian randomization study.,Journal of gynecologic oncology,2;5;10,,Journal Article
42210128,2026,"Reduced HSD17B1 expression in preeclampsia: integrated transcriptomic, summary Mendelian randomization, immune deconvolution, and experimental validation.",BMC pregnancy and childbirth,1;2;10;15,,Journal Article
42209495,2026,GWAS of extended prescription analgesic use identifies genetic loci in chronic pain.,Nature communications,2;4,,Journal Article
42209116,2026,Investigating Bidirectional Causal Relationships Between Imaging-Derived Brain Phenotypes and Sedative-Hypnotic Use Disorder: A Mendelian Randomization Study.,Addiction biology,2;10,,Journal Article
