pubmed_id,year,title,journal,themes,subthemes,publication_types
42221328,2026,Large-scale meta- and cross-trait analyses uncover shared genetic risk factors for IBS and psychiatric disorders.,Frontiers in psychiatry,2;4,,Journal Article
42210358,2026,Examining the additive risk of TBI and comorbid conditions on dementia in military veterans: a retrospective cohort study.,Alzheimer's research & therapy,3;4;11;14,,Journal Article
42198943,2026,Traumatic Brain Injury and High Combat Exposure Pose Additive Risk for Specific Chronic Health Conditions in Veterans Affairs Million Veteran Program Enrollees.,Journal of neurotrauma,4;14,,Journal Article
42173832,2026,Genetic variants affect diurnal glucose levels throughout the day.,Nature communications,1;2,,Journal Article
42173079,2026,Integrated network pharmacology and Mendelian randomization analysis to elucidate potential mechanisms of curcumin and resveratrol in myocardial infarction treatment.,The Journal of pharmacology and experimental therapeutics,1;2;10,,Journal Article
42170857,2026,Opioid use disorder and dementia risk: evidence from observational and genetic analyses in diverse ancestry cohorts.,Alzheimer's & dementia : the journal of the Alzheimer's Association,2;4;11,,Journal Article;Observational Study
42162961,2026,Relationship between major depressive disorder and venous thromboembolism: a five-ancestry genetic analysis.,"Hematology (Amsterdam, Netherlands)",1;2;4,,Journal Article
42145622,2026,Germline polygenic score for prostate cancer aggressiveness.,medRxiv : the preprint server for health sciences,2;5,,Journal Article;Preprint
42142497,2026,Examining the prognostic utility of symptom etiology groupings on the VA's comprehensive traumatic brain injury evaluation.,Psychiatry research,4;14,,Journal Article
42078360,2026,X-Chromosome-Wide Association Study Identifies Novel Genetic Signals for Heart Failure and Subtypes.,medRxiv : the preprint server for health sciences,1;2,,Journal Article;Preprint
42064929,2026,Independent Genetic Effects of Glucagon-like Peptide-1 Receptor Locus on Body Mass Index and Type 2 Diabetes.,medRxiv : the preprint server for health sciences,1;2;16,,Journal Article;Preprint
42033863,2026,Toxic exposure and rates of suicidal thoughts and behaviors among U.S. military veterans.,Psychiatry research,4,,Journal Article;Observational Study
42017216,2026,Genome-Wide Association Study of Chronic Venous Insufficiency and Lymphedema in the Million Veteran Program.,Circulation. Genomic and precision medicine,1;2;5;10,,Journal Article
41948706,2026,Circulating Plasma Proteins Influence the Risk of Aortic Dissection via Blood Pressure: A Network Mendelian Randomization and Multi-Omics Study.,Journal of inflammation research,1;2;10,,Journal Article
41932550,2026,Deep learning and statistical methods identify novel asthma risk variants in Europeans.,The Journal of allergy and clinical immunology,2;3;13,,Journal Article
41904542,2026,An atlas of genetic effects on the monocyte methylome across European and African populations.,Genome medicine,1;2,,Journal Article
41896945,2026,Genomic interplay between deployment exposures and Gulf War illness in Million Veteran Program participants.,Human genomics,2,,Journal Article
41894076,2026,"Chronic pain and type 2 diabetes: associations between neuropathic and nociplastic pain conditions, health behaviors, and mental health in veterans.",Journal of behavioral medicine,1;4,,Journal Article
41877849,2026,Obstructive Sleep Apnea and Hypercoagulability: Combining Observational and Mendelian Randomization Analyses to Explore Causal Relationships.,Nature and science of sleep,1;2;10;13,,Journal Article
41846316,2026,Bayesian Mendelian randomization methods for index trait bias correction in subsequent trait genome-wide association studies.,HGG advances,1;2;10;14,,Journal Article
41840298,2026,Polygenic Contribution to Sensorineural Hearing Loss Implicates Novel Risk Loci and Convergence with Congenital Hearing Loss Genes.,Journal of the Association for Research in Otolaryngology : JARO,2;10;18,,Journal Article
41810366,2026,"Triglyceride-rich lipoproteins, low-density lipoproteins, and risk of abdominal aortic aneurysm.",medRxiv : the preprint server for health sciences,1;2,,Journal Article;Preprint
41805402,2026,Individual-Level Factors Associated With 10-Year Incidence of Alzheimer Disease and Related Dementias in the VA Million Veteran Program.,Neurology,3;4;11;14,,Journal Article
41801273,2026,Electronic Health Record-Linked Biobank Expansion Reveals Global Health Inequities.,Annual review of biomedical data science,3;8,,Journal Article;Review
41799924,2026,Osteoarthritis case identification in the million veteran program cohort: Comparison of diagnostic codes versus clinical notes.,Osteoarthritis and cartilage open,3,,Journal Article
41792138,2026,The genetic basis of dermatophytosis skin infection susceptibility.,Nature communications,2;8,,Journal Article;Meta-Analysis
41763442,2026,Genomic Study of Resilience to Posttraumatic Stress Disorder in the Million Veteran Program.,Biological psychiatry,2;4,,Journal Article
41763234,2026,Combined associations of GLP-1 receptor agonists and a healthy lifestyle with cardiovascular outcomes among individuals with type 2 diabetes: a prospective cohort study.,The lancet. Diabetes & endocrinology,1;4;14,,Journal Article
41741130,2026,"Cannabis use, cognitive function and dementia risk in older adults: observational and genetic analyses.",BMJ mental health,4;11,,Journal Article
41728327,2026,Genome-wide association study of corneal dystrophy uncovers novel risk loci and enables improved polygenic prediction of Fuchs endothelial corneal dystrophy.,medRxiv : the preprint server for health sciences,2;3,,Journal Article;Preprint
41717697,2026,Angiographic Burden of Coronary Atherosclerosis Partially Mediates the Association Between ASCVD Risk Factors and Outcomes.,Circulation. Genomic and precision medicine,1;2,,Journal Article
41705751,2026,Systemic Manifestations and Mortality Risk in Transthyretin V142I Variant Carriers: A Million Veteran Program Analysis.,JACC. CardioOncology,1;14,,Journal Article
41691648,2026,Cross-sectional Comparison of Social Drivers of Health in The Million Veteran Program and Behavioral Risk Factor Surveillance System (2011-2023).,Military medicine,6,,Journal Article
41683293,2026,Alcohol Intake and Incidence of Heart Failure and Its Subtypes: VA Million Veteran Program.,Nutrients,1;4,,Journal Article
41665936,2026,Carriage of rare APOB variants predisposes to severe steatotic liver disease and hepatocellular carcinoma.,The Journal of clinical investigation,1;5,,Journal Article;Meta-Analysis;Clinical Trial
41646717,2026,Epigenetics in Abdominal Aortic Aneurysm: Mechanisms and Risk Prediction.,medRxiv : the preprint server for health sciences,1;2;3,,Journal Article;Preprint
41646688,2026,Multi-ancestry epigenome wide association study of generalized anxiety disorder.,medRxiv : the preprint server for health sciences,2;4,,Journal Article;Preprint
41632728,2026,A Genome-Wide Association Study of Hidradenitis Suppurativa from the VA's Million Veteran Program.,"Dermatology (Basel, Switzerland)",2;12,,Journal Article
41626871,2026,"Large-Scaled Proteomics Analysis for Glaucoma: Integrated Genetics, Multi-Omics, UK Biobank and Therapeutic Analysis.",Investigative ophthalmology & visual science,2;18,,Journal Article
41615269,2026,Remote delivery of cancer genetic testing in veterans with metastatic prostate cancer: A Million Veteran Program pilot study.,Cancer,5;10;17,,Journal Article
41588240,2026,Genomic risk model to implement precision prostate cancer screening in clinical care: the ProGRESS study.,Nature cancer,2;5,,Journal Article
41572430,2026,SAIGE-GPU: accelerating genome- and phenome-wide association studies using GPUs.,"Bioinformatics (Oxford, England)",2,,Journal Article
41565822,2026,Biological insights into schizophrenia from ancestrally diverse populations.,Nature,2;4;6,,"Journal Article;Research Support, N.I.H., Extramural"
41548865,2026,Multiomics analyses prioritize disease genes and pathways in hidradenitis suppurativa.,The Journal of investigative dermatology,2;12,,Journal Article
41542675,2026,Phecoder: semantic retrieval for auditing and expanding ICD-based phenotypes in EHR biobanks.,medRxiv : the preprint server for health sciences,2;3;4,,Journal Article;Preprint
