theme_code,theme_name,aou_pre_share,aou_post_share,aou_trend,ukb_pre_share,ukb_post_share,ukb_trend,finngen_pre_share,finngen_post_share,finngen_trend,mvp_pre_share,mvp_post_share,mvp_trend,ckb_pre_share,ckb_post_share,ckb_trend
1,Cardiometabolic disease,0.1911,0.2892,0.0982,0.4182,0.4774,0.0591,0.5644,0.3804,-0.1841,0.4667,0.3711,-0.0955,0.6709,0.6468,-0.0241
2,Genomics methods & complex-trait genetics,0.1019,0.272,0.1701,0.5354,0.4981,-0.0373,0.9422,0.973,0.0308,0.6889,0.7285,0.0396,0.0728,0.1957,0.123
3,"Methods, infrastructure & phenotyping (non-genomic)",0.1465,0.1873,0.0408,0.0463,0.0814,0.0351,0.0222,0.0235,0.0013,0.1111,0.1168,0.0057,0.019,0.0979,0.0789
4,"Mental health, behavioral & substance use",0.0892,0.1972,0.108,0.1616,0.155,-0.0067,0.12,0.1067,-0.0133,0.3556,0.2749,-0.0806,0.1076,0.0638,-0.0438
5,Cancer,0.0446,0.1389,0.0943,0.1153,0.1152,-0.0001,0.1644,0.1642,-0.0002,0.0519,0.1306,0.0787,0.1456,0.1872,0.0417
6,Social determinants of health & health disparities,0.3057,0.3369,0.0312,0.038,0.0308,-0.0072,0.0044,0.0056,0.0012,0.037,0.1237,0.0867,0.1171,0.1277,0.0106
7,Wearables & digital health,0.0446,0.0542,0.0096,0.0574,0.0602,0.0028,0.0311,0.0172,-0.0139,0.0148,0.0137,-0.0011,0.057,0.0979,0.0409
8,Infectious disease & immunology,0.0764,0.0551,-0.0214,0.0431,0.0324,-0.0107,0.0356,0.0474,0.0118,0.0889,0.0447,-0.0442,0.0348,0.0511,0.0163
9,Autoimmune & inflammatory disease,0.0255,0.0846,0.0592,0.0338,0.0479,0.0141,0.0844,0.1312,0.0468,0.0222,0.0206,-0.0016,0.0063,0.017,0.0107
10,Rare disease & Mendelian genetics,0.0255,0.0411,0.0156,0.1505,0.1836,0.033,0.6489,0.7365,0.0876,0.0963,0.1443,0.048,0.019,0.0553,0.0363
11,"Aging, frailty & ADRD",0.0127,0.06,0.0472,0.1112,0.171,0.0599,0.0933,0.0604,-0.033,0.0222,0.079,0.0568,0.0443,0.0979,0.0536
12,Dermatology,0.1783,0.1389,-0.0395,0.0167,0.0191,0.0024,0.0311,0.0698,0.0387,0.0222,0.0172,-0.005,0.0,0.0085,0.0085
13,Respiratory & sleep medicine,0.0064,0.0477,0.0413,0.0616,0.061,-0.0006,0.1022,0.0954,-0.0068,0.0296,0.0378,0.0082,0.1013,0.1149,0.0136
14,Neurology (non-ADRD),0.0191,0.0608,0.0417,0.1014,0.1204,0.0189,0.1644,0.0944,-0.0701,0.1704,0.134,-0.0363,0.3101,0.3106,0.0005
15,"Pregnancy, maternal & women's health",0.0064,0.0296,0.0232,0.038,0.0351,-0.0028,0.0711,0.0965,0.0254,0.0,0.0172,0.0172,0.0759,0.0511,-0.0249
16,Pharmacogenomics & drug response,0.0191,0.0238,0.0047,0.0028,0.0046,0.0019,0.0,0.0067,0.0067,0.0074,0.0172,0.0098,0.0,0.0,0.0
17,"ELSI, participant engagement & recruitment",0.1592,0.0362,-0.1231,0.0046,0.0019,-0.0027,0.0,0.0007,0.0007,0.0296,0.0206,-0.009,0.0032,0.0,-0.0032
18,"Ophthalmology, ENT & sensory medicine",0.0637,0.0797,0.016,0.0472,0.0395,-0.0078,0.0756,0.0768,0.0013,0.037,0.055,0.0179,0.0032,0.0085,0.0053
19,Environmental health & climate,0.0,0.0058,0.0058,0.0213,0.033,0.0116,0.0,0.0084,0.0084,0.0,0.0,0.0,0.0095,0.0255,0.016
N,pre/post-2023 corpus sizes,157,1217,,2159,3672,,225,2850,,135,291,,316,235,
