theme_code,theme_name,aou_share,ukb_share,finngen_share,mvp_share,ckb_share,aou_count,ukb_count,finngen_count,mvp_count,ckb_count,aou_share,peer_median_share,peer_max_share
1,Cardiometabolic disease,0.278,0.4555,0.3938,0.4014,0.6606,382,2656,1211,171,364,0.278,0.4285,0.6606
2,Genomics methods & complex-trait genetics,0.2525,0.5119,0.9707,0.716,0.1252,347,2985,2985,305,69,0.2525,0.6139,0.9707
3,"Methods, infrastructure & phenotyping (non-genomic)",0.1827,0.0684,0.0234,0.115,0.0526,251,399,72,49,29,0.1827,0.0605,0.115
4,"Mental health, behavioral & substance use",0.1849,0.1574,0.1076,0.3005,0.0889,254,918,331,128,49,0.1849,0.1325,0.3005
5,Cancer,0.1281,0.1152,0.1642,0.1056,0.1633,176,672,505,45,90,0.1281,0.1393,0.1642
6,Social determinants of health & health disparities,0.3333,0.0334,0.0055,0.0962,0.1216,458,195,17,41,67,0.3333,0.0648,0.1216
7,Wearables & digital health,0.0531,0.0592,0.0182,0.0141,0.0744,73,345,56,6,41,0.0531,0.0387,0.0744
8,Infectious disease & immunology,0.0575,0.0364,0.0465,0.0587,0.0417,79,212,143,25,23,0.0575,0.0441,0.0587
9,Autoimmune & inflammatory disease,0.0779,0.0427,0.1278,0.0211,0.0109,107,249,393,9,6,0.0779,0.0319,0.1278
10,Rare disease & Mendelian genetics,0.0393,0.1713,0.7301,0.1291,0.0345,54,999,2245,55,19,0.0393,0.1502,0.7301
11,"Aging, frailty & ADRD",0.0546,0.1489,0.0628,0.061,0.0672,75,868,193,26,37,0.0546,0.065,0.1489
12,Dermatology,0.1434,0.0182,0.067,0.0188,0.0036,197,106,206,8,2,0.1434,0.0185,0.067
13,Respiratory & sleep medicine,0.0429,0.0612,0.0959,0.0352,0.1071,59,357,295,15,59,0.0429,0.0786,0.1071
14,Neurology (non-ADRD),0.056,0.1134,0.0995,0.1455,0.3103,77,661,306,62,171,0.056,0.1294,0.3103
15,"Pregnancy, maternal & women's health",0.0269,0.0362,0.0946,0.0117,0.0653,37,211,291,5,36,0.0269,0.0508,0.0946
16,Pharmacogenomics & drug response,0.0233,0.0039,0.0062,0.0141,0.0,32,23,19,6,0,0.0233,0.0051,0.0141
17,"ELSI, participant engagement & recruitment",0.0502,0.0029,0.0007,0.0235,0.0018,69,17,2,10,1,0.0502,0.0024,0.0235
18,"Ophthalmology, ENT & sensory medicine",0.0779,0.0424,0.0767,0.0493,0.0054,107,247,236,21,3,0.0779,0.0458,0.0767
19,Environmental health & climate,0.0051,0.0286,0.0078,0.0,0.0163,7,167,24,0,9,0.0051,0.0121,0.0286
N,corpus size (substantive pubs),1374,5831,3075,426,551,,,,,,,,
