pubmed_id,year,title,journal,themes,subthemes,publication_types
30679032,2019,Exome Chip Meta-analysis Fine Maps Causal Variants and Elucidates the Genetic Architecture of Rare Coding Variants in Smoking and Alcohol Use.,Biological psychiatry,2;4,,"Journal Article;Meta-Analysis;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, Non-P.H.S."
30595370,2019,Leveraging Polygenic Functional Enrichment to Improve GWAS Power.,American journal of human genetics,2,,"Journal Article;Research Support, N.I.H., Extramural"
30593698,2019,Genomics of body fat percentage may contribute to sex bias in anorexia nervosa.,"American journal of medical genetics. Part B, Neuropsychiatric genetics : the official publication of the International Society of Psychiatric Genetics",2,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
30583798,2019,GWAS Identifies Risk Locus for Erectile Dysfunction and Implicates Hypothalamic Neurobiology and Diabetes in Etiology.,American journal of human genetics,1;2,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
30576354,2018,Measurement of liver iron by magnetic resonance imaging in the UK Biobank population.,PloS one,1,,"Journal Article;Research Support, Non-U.S. Gov't"
30575882,2018,"Association of Genetic Variants Related to Gluteofemoral vs Abdominal Fat Distribution With Type 2 Diabetes, Coronary Disease, and Cardiovascular Risk Factors.",JAMA,1;2,,"Comparative Study;Journal Article;Research Support, Non-U.S. Gov't"
30573740,2018,Dissection of genetic variation and evidence for pleiotropy in male pattern baldness.,Nature communications,2,,"Journal Article;Research Support, Non-U.S. Gov't"
30571770,2018,Genome-wide interaction study of a proxy for stress-sensitivity and its prediction of major depressive disorder.,PloS one,2;4,,"Journal Article;Meta-Analysis;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
30566020,2018,Clinical and Genetic Determinants of Varicose Veins.,Circulation,1;2;15,,"Journal Article;Multicenter Study;Observational Study;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
30554720,2019,Polygenic Risk Scores for Prediction of Breast Cancer and Breast Cancer Subtypes.,American journal of human genetics,2;5,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
30552067,2019,Moderate-to-severe asthma in individuals of European ancestry: a genome-wide association study.,The Lancet. Respiratory medicine,2;12;13,,"Journal Article;Research Support, Non-U.S. Gov't"
30524134,2018,Association Between Ambient Air Pollution and Cardiac Morpho-Functional Phenotypes: Insights From the UK Biobank Population Imaging Study.,Circulation,1;19,,"Journal Article;Research Support, Non-U.S. Gov't"
30539684,2019,Alcohol intake and risk of systemic lupus erythematosus: a Mendelian randomization study.,Lupus,2;9;10,,Journal Article
30535219,2018,Association Between Titin Loss-of-Function Variants and Early-Onset Atrial Fibrillation.,JAMA,1;2,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
30531941,2018,GWAS identifies 14 loci for device-measured physical activity and sleep duration.,Nature communications,1;2;7,,"Journal Article;Research Support, Non-U.S. Gov't"
30531825,2018,Genome-wide study of hair colour in UK Biobank explains most of the SNP heritability.,Nature communications,2,,"Journal Article;Multicenter Study;Research Support, Non-U.S. Gov't"
30519892,2019,"eQTL of KCNK2 regionally influences the brain sulcal widening: evidence from 15,597 UK Biobank participants with neuroimaging data.",Brain structure & function,2;11,,Journal Article
30508204,2018,Vitamin D and overall cancer risk and cancer mortality: a Mendelian randomization study.,Human molecular genetics,2;5;10,,"Journal Article;Research Support, Non-U.S. Gov't"
30511478,2019,"Loss of function, missense, and intronic variants in NOTCH1 confer different risks for left ventricular outflow tract obstructive heart defects in two European cohorts.",Genetic epidemiology,1;2,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
30510254,2018,UK Biobank debuts as a powerful resource for genomic research.,Nature medicine,2,,Journal Article
30510122,2019,Mosaic Y Loss Is Moderately Associated with Solid Tumor Risk.,Cancer research,5,,"Journal Article;Research Support, N.I.H., Intramural;Research Support, Non-U.S. Gov't"
30509170,2018,Effects of pathogenic CNVs on physical traits in participants of the UK Biobank.,BMC genomics,,,Journal Article
30499747,2019,Are Bigger Brains Smarter? Evidence From a Large-Scale Preregistered Study.,Psychological science,,,"Journal Article;Research Support, Non-U.S. Gov't"
30478852,2019,"Assessing potential shared genetic aetiology between body mass index and sleep duration in 142,209 individuals.",Genetic epidemiology,2;7,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
30478441,2019,A linear mixed-model approach to study multivariate gene-environment interactions.,Nature genetics,2,,"Journal Article;Research Support, Non-U.S. Gov't"
30474154,2019,Estimating cross-population genetic correlations of causal effect sizes.,Genetic epidemiology,1;9,,"Journal Article;Research Support, N.I.H., Extramural"
30469083,2019,Low neuroticism and cognitive performance are differently associated to overweight and obesity: A cross-sectional and longitudinal UK Biobank study.,Psychoneuroendocrinology,1,,"Journal Article;Research Support, Non-U.S. Gov't"
30467019,2018,The effect of socioeconomic deprivation on the association between an extended measurement of unhealthy lifestyle factors and health outcomes: a prospective analysis of the UK Biobank cohort.,The Lancet. Public health,1;6;7,,Journal Article
30448322,2019,Association between musculoskeletal pain at multiple sites and objectively measured physical activity and work capacity: Results from UK Biobank study.,Journal of science and medicine in sport,4;7,,Journal Article;Observational Study
30442986,2018,"Understanding the role of bitter taste perception in coffee, tea and alcohol consumption through Mendelian randomization.",Scientific reports,2;10,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
30427476,2018,The link between ankylosing spondylitis and oral health conditions: two nested case-control studies using data of the UK Biobank.,Journal of applied oral science : revista FOB,9,,Journal Article
30420501,2018,"Subspecialization within default mode nodes characterized in 10,000 UK Biobank participants.",Proceedings of the National Academy of Sciences of the United States of America,,,"Journal Article;Research Support, Non-U.S. Gov't"
30413934,2019,Dissecting the genetic relationship between cardiovascular risk factors and Alzheimer's disease.,Acta neuropathologica,1;2;11,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
30404896,2018,Sex differences in risk factors for myocardial infarction: cohort study of UK Biobank participants.,BMJ (Clinical research ed.),1,,"Journal Article;Research Support, Non-U.S. Gov't"
30403623,2019,Learning-Based Quality Control for Cardiac MR Images.,IEEE transactions on medical imaging,1,,"Journal Article;Research Support, Non-U.S. Gov't"
30398016,2019,Muscle mass measures and incident osteoporosis in a large cohort of postmenopausal women.,"Journal of cachexia, sarcopenia and muscle",3;11,,Journal Article
30389748,2019,DNA Sequence Variation in ACVR1C Encoding the Activin Receptor-Like Kinase 7 Influences Body Fat Distribution and Protects Against Type 2 Diabetes.,Diabetes,1;2,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
30383316,2018,Genome-wide meta-analysis identifies 3 novel loci associated with stroke.,Annals of neurology,1;2;14,14.2-stroke-cerebro,"Journal Article;Meta-Analysis;Research Support, Non-U.S. Gov't;Review"
30367974,2019,Characteristics of the environment and physical activity in midlife: Findings from UK Biobank.,Preventive medicine,6;7;19,,"Journal Article;Research Support, Non-U.S. Gov't"
30362959,2018,Quantitative characterization of biological age and frailty based on locomotor activity records.,Aging,11,,"Comparative Study;Journal Article;Research Support, Non-U.S. Gov't"
30359730,2019,Modelling the distribution of white matter hyperintensities due to ageing on MRI images using Bayesian inference.,NeuroImage,1;14,,"Journal Article;Research Support, Non-U.S. Gov't"
30358150,2018,BMI and Mortality in UK Biobank: Revised Estimates Using Mendelian Randomization.,"Obesity (Silver Spring, Md.)",1;2;5;10;14,,"Journal Article;Research Support, Non-U.S. Gov't"
