status,platform,dimension,claim,url,quote,date
VERIFIED,AOU,data_assets,"All of Us data includes electronic health records, surveys, and physical measurements from consented participants.",https://www.researchallofus.org/data-tools/workbench/,"data from electronic health records (EHRs), surveys, and physical measurements",accessed 2026-06-27
VERIFIED,AOU,data_assets,"All of Us generates genomic data via short-read WGS, long-read WGS, and genome-wide genotyping.",https://www.researchallofus.org/data-tools/data-sources/,"short-read whole genome sequencing, long-read whole genome sequencing, and genome-wide genotyping to call single nucleotide polymorphism, insertion, and deletion variants (SNPs and Indels) and structural variants",accessed 2026-06-27
VERIFIED,AOU,data_assets,"All of Us participants can contribute wearable device data such as Fitbit (heart rate, activity, sleep).",https://www.researchallofus.org/data-tools/data-sources/,"such as Fitbit devices, which track biometric data, including heart rate, physical activity, and sleep",accessed 2026-06-27
VERIFIED,AOU,data_assets,"The Controlled Tier dataset adds genomic data including short-read WGS, long-read WGS, structural variants, and genotyping arrays.",https://www.researchallofus.org/data-tools/data-access/,"genomic data in the form of short-read whole genome sequences (WGS), long-read WGS, structural variants, and genotyping arrays",accessed 2026-06-27
VERIFIED,AOU,notebooks,"The Researcher Workbench provides integrated Jupyter Notebook, RStudio, and SAS Studio analysis tools.",https://www.researchallofus.org/data-tools/workbench/,"integrated cloud-based analysis tools, including Jupyter Notebook, RStudio, and SAS Studio",accessed 2026-06-27
VERIFIED,AOU,notebooks,"Researchers can use R, Python, or SAS to query and analyze All of Us datasets.",https://www.researchallofus.org/data-tools/workbench/,"Researchers with R, Python, or SAS experience can perform queries and analyses within the",accessed 2026-06-27
VERIFIED,AOU,cost_model,Each registered Researcher Workbench user receives $300 in initial cloud credits.,https://www.researchallofus.org/data-tools/workbench/,provides $300 in initial credits for each registered Researcher Workbench user,accessed 2026-06-27
VERIFIED,AOU,standards_interop,All of Us curation uses OMOP to standardize data.,https://www.researchallofus.org/data-tools/workbench/,Our data curation process uses OMOP to standardize data to ensure high-quality data for research,accessed 2026-06-27
VERIFIED,AOU,standards_interop,All of Us uses the OMOP Common Data Model to standardize all EHR data.,https://www.researchallofus.org/data-tools/data-sources/,We use the Observational Medical Outcomes Partnership (OMOP) Common Data Model (CDM) to standardize all EHR data,accessed 2026-06-27
VERIFIED,AOU,egress_security,All of Us implements security controls at the FISMA Moderate baseline derived from NIST 800-53.,https://www.researchallofus.org/privacy/,"We have implemented security controls at the FISMA Moderate baseline, leveraged from NIST 800-53, to build a robust security framework",accessed 2026-06-27
