workspaceId,themes,focus_areas,n_focus_areas,is_orphan_proj,title
35015,1;2;14;16,FA1;FA4;FA8,3,0,20251024_rs7636910
32979,1;2;14,FA1;FA8,2,0,Adrenalectomy V8
35014,5;10;11,FA1;FA3;FA4;FA8,4,0,XPC Analysis Workspace
34835,4;15,FA1;FA2;FA5,3,0,PPD Dataset
35013,10,FA1;FA4;FA8,3,0,Vit. D Deficiency and Ehlers Danlos and Osteogenesis Imperfecta
35012,,,0,1,Identification of New Genetic Associations with Vascular Disorders (N3)
31950,,,0,1,Identification of New Genetic Associations with Vascular Disorders (N)
34811,,,0,1,Identification of New Genetic Associations with Vascular Disorders (N2)
35009,2;3,FA8,1,0,Proteomics
30582,2,FA8,1,0,Genomic_Analysis_Reg_other
35008,3;5;6,FA1;FA7;FA8,3,0,Predictors of PSA Testing and Screening Patterns
31813,2,FA8,1,0,v8_PheWAS analysis for Tandem Repeat Expansions
35007,,,0,1,Pain_Prediction
35006,1;15,FA1;FA2;FA8,3,0,PreE_Omics
28851,1,FA1;FA8,2,0,WUSM Bolton Lab - IDH Clonal Hematopoiesis and CVD (v8)
35004,2,FA8,1,0,SepsisAKI
35003,2;8;10,FA1;FA4;FA8,3,0,Pathogenic Variant Detection in Common Variable Immunodeficiency Patients
18633,4;13,FA1;FA5,2,0,COPD and Nicotine/Tobacco Use (Controlled Tier)
33256,1;2;3,FA1;FA8,2,0,Machine learning for genetic risk prediction of Blood Pressure and hypertension
26467,1;2;3,FA1;FA8,2,0,Rare_genetic_variations_in_a_diverse_population_v8
7955,1;2;3,FA1;FA8,2,0,Rare_genetic_variations_in_a_diverse_population_v7
25652,1;4;6;15,FA1;FA2;FA5;FA7;FA8,5,0,Aim 1: Psychosocial Stress and PreE
31036,1;2,FA1;FA8,2,0,ObesityandCancer
31630,16,FA4;FA8,2,0,CYP2C19_50k
27195,2,FA8,1,0,PheWAS v8
34999,5;10;11,FA1;FA3;FA4;FA8,4,0,PTEN Workspace
21483,1;3;5,FA1;FA8,2,0,Cancer Risk Prediction
34998,1;3;6,FA1;FA7;FA8,3,0,Duplicate of Duplicate of Readmission in Heart Failure V8
32567,5;10;11,FA1;FA3;FA4;FA8,4,0,Main Analysis Workspace
34996,2;3;11,FA1;FA3;FA8,3,0,Duplicate of HypertensionUKBB
34991,1,FA1;FA8,2,0,AIM-AHEAD-UVA-RISE
26868,1;2;3;14,FA1;FA8,2,0,Stroke
33838,5;12,FA1;FA7;FA8,3,0,VCOM SRC - Pod #1
34989,1;15,FA1;FA2;FA8,3,0,Pepin-Polli
32674,1;4;7,FA1;FA5;FA8,3,0,"Step count, mental illness, cardiovascular risk factors and cognition"
27375,2;4;6,FA1;FA5;FA7;FA8,4,0,OUD GWAS v8
34562,3;7,,0,1,Physical Activity/Sleep Duration on Health (Yizhou)
34987,1;4,FA1;FA5;FA8,3,0,Duplicate of Duplicate of NAFLD and mental Health
